YEAR,top10_airport_delay_share
2003,0.38134221030151944
2004,0.38767404286136536
2005,0.3747423688377134
2013,0.3933809385112723
2014,0.3997433178229568
2015,0.3941074656449125
2023,0.3639020732477131
2024,0.35882510046630756
2025,0.37305776746034996
